anchor,positive
Give it to whoever needs it.,Give it to whoever wants it.
Will you be home for Christmas?,Are you going to be home for Christmas?
Tom is a Briton.,Tom is British.
I hit on a spa.,"By chance, I found a hot spring."
They play soccer.,They're playing football.
Why should I go?,Why do I have to go?
Today I have neck pain.,My neck hurts today.
We haven't yet been told.,We haven't been told yet.
I have a surprise for you guys.,I've got a surprise for you.
She is able to sing very well.,She can sing very well.
I probably should have said something.,I probably should've said something.
She is less intelligent than you.,She is not as intelligent as you.
Tom is the best.,Tom is the greatest.
We're dealing with it.,We're taking care of it.
"Even though we are far apart, we still keep in touch.","Even though the distance between us is great, we still communicate."
It's easy to confuse words of one syllable.,It's easy to get monosyllabic words mixed up with each other.
What noise do giraffes make?,What noise might giraffes make?
We're planning to do that.,We're planning on doing that.
I didn't know that Tom was going to be here.,I didn't know that Tom would be here.
Tom isn't going to stop now.,Tom won't stop now.
Don't press your opinions on me.,Don't press your opinion on me.
Tom shut the drawer.,Tom closed the drawer.
You've got two books?,You have two books?
Do you have any idea what was in the box?,Do you have a vague idea about what's in the box?
They can understand everything we are saying.,They can understand everything we're saying.
We gather together every Friday.,We get together on Fridays.
We'll meet at 3:00 p.m.,We'll meet at three o'clock in the afternoon.
He took no notice of our warning.,He ignored our warnings.
There is a fork missing.,One fork is missing.
The important thing is not to win but to take part.,"Winning is not important, rather, team-work is important."
She seemed disappointed at the result.,She seemed disappointed with the result.
You have given me so many.,You gave me too much.
This is completely irrelevant.,This is totally irrelevant.
Do you feel lucky?,Are you feeling lucky?
The guests are all gone.,All guests have gone.
Tom should've won.,Tom should have won.
She cleared the table of the dishes after dinner.,She cleared the dishes from the table after dinner.
Tom took off his helmet.,Tom removed his helmet.
I am not accustomed to making speeches in public.,I'm not used to talking in public.
He doesn't know what he's talking about.,She doesn't know what she's talking about.
I am near the station.,I'm by the train station.
We have lived a lot.,We have lived a full life.
"I am learning her name still, too.",I still remember his name.
The country is abundant in natural resources.,This country is rich in natural resources.
This is her dirty little secret.,It's his dirty little secret.
My children are in school.,The kids are at school.
In your dreams!,You wish!
Tom likes sports.,Tom loves sports.
"Since then, his faith has been severely shaken.","From the time he got up, his beliefs began to sway."
It's up to you now.,It's now up to you.
He told me he was going to America.,He said he would go to the United States.
You could help us.,You might be able to help us.
Tom didn't mention seeing Mary.,Tom didn't mention having seen Mary.
This beer is not cold enough.,This beer isn't cold.
"How about a cup of coffee? ""I'd like to, but I have a previous engagement.""","How about a cup of coffee? ""I wish I could, but I have some place I have to go."""
Tom isn't married anymore.,Tom is no longer married.
"If you want war, you'll get war.","If you want war, you will get it."
Just act as if nothing has happened.,Just act like nothing happened.
Tom said Mary is probably still puzzled.,Tom said that Mary was probably still confused.
What else did you tell Tom?,What else did you say to Tom?
I probably will do that again.,I'm probably going to do that again.
Why did you open the box?,Why have you opened the box?
He said that he'd call me.,He told me he'd call me.
Tom is just trying to survive.,Tom is only trying to survive.
Tom is probably busy.,Tom is likely to be busy.
Tom wasn't able to finish his dinner.,Tom couldn't finish his dinner.
He's watching me.,She's watching me.
You are not our friend.,You aren't our friend.
Put it back on the desk.,Put that back on the table.
Tom is a spoiled child.,Tom is a spoilt child.
How long's Tom been in Boston?,How long was Tom in Boston?
How many men have you killed?,How many have you killed?
I don't think I'm overreacting.,I don't think that I'm overreacting.
I only do this in the summer.,I do this only in the summer.
You're a lucky guy.,You are a lucky man.
I didn't realise we were late.,I didn't realize we were late.
He is my brother.,She is my elder sister.
I highly recommend him.,I highly recommend her.
How large is the population of this city?,"What's this city's population, approximately?"
I got a noisemaker as a Purim gift.,I received a rattle as a gift for Purim.
Tom is younger than we are.,Tom is younger than us.
I think Tom is hitting on you.,I think Tom is coming on to you.
The girl in the picture is wearing a crown not of gold but of flowers.,"The girl in the picture has a flower wreath on her head, and not a golden crown."
"Ask, and it shall be given you.",Ask and you shall receive.
Dennis can be very wild sometimes.,Sometimes Dennis is really crazy.
I know that Tom is irritated.,I know Tom is irritated.
I've quit using French with you.,I'll stop speaking to you in French.
That's all I have to know.,That's all I need to know.
I am responsible for the mistake.,I am responsible for this mistake.
This morning it was raining when I took the bus.,It was raining when I got on the bus this morning.
I know that Tom is crazy.,I know Tom is crazy.
Tom doesn't eat fish.,Thomas does not eat fish.
I told you this was going to be boring.,I told you that this would become tiresome.
Tom blinked.,Tom winked.
Someone was here.,Somebody was in here.
May I switch off the light?,May I switch on the light?
I haven't seen him for years.,It was ages ago.
I didn't talk to Tom about this.,Tom and I didn't talk about that.
"If Tom doesn't want to go, he doesn't have to.",Tom didn't have to go if he didn't want to.
I'm not the only one who has done that.,I'm not the only person who did that.
Are we done yet?,Are we there yet?
He wants justice.,She wants justice.
Tom didn't plan to go to Australia.,Tom didn't plan on going to Australia.
I don't recommend it.,I'm not advocating that.
The land is clothed with woods.,The earth is covered with forests.
Tom never mentioned it.,Tom never mentioned that.
Yoko avoided answering my question.,Yangzi avoided the question I asked him.
Tom is a pretty good guitarist.,Tom is quite a guitarist.
I doubt that Tom is happy.,I doubt Tom is happy.
There's something I want you to do.,I need you to do something.
This is my favorite book.,This is my favourite book.
I want to see him first.,I want to see her first.
Tom is wiser than me.,Tom is wiser than I am.
There are too many adverts on youtube.,There are too many ads on YouTube.
There were no clouds today.,There aren't any clouds today.
Tom will be thirty in October.,Tom will be thirty years old in October.
I'm not her type.,I'm not his type.
This tea smells good.,This tea smells nice.
I found this bottle when I was walking on the beach this morning.,"When I was strolling along the beach this morning, I found this bottle."
A little bird told me.,It's an open secret.
Don't go to such a place at night.,Don't go to that kind of a place at night.
Does it really matter?,Does that really matter?
Tom won't let you go.,Tom isn't going to let you go.
They said that they were strong.,They said they were strong.
He watches PBS.,She watches PBS.
The only access to the village is from the river.,This village can not be reached except via the river.
The rumor turned out false.,The rumor turned out to be false.
I'm confident I can do that.,I'm sure I'll be able to do that.
This problem must not be dismissed out of hand.,This problem must not be swept under the carpet.
I saw you smile.,I saw him smile.
You've got ants in your pants.,They've got ants in their pants.
I like your garden.,I like your yard.
That song is copyrighted.,That song's copyrighted.
I think Tom really likes you.,I think Tom really does love you.
Who do you think's wrong?,Who do you think made the mistake?
I'm not strange.,I'm not weird.
You should've left it alone.,You should've left him alone.
Basket weaving is a dying art.,Basket weaving is an extinct art.
This is his horse.,That's his horse.
I thought that you didn't smoke.,I thought you didn't smoke.
Why didn't anyone stop Tom?,Why didn't anybody stop Tom?
Tom is no angel.,Tom isn't an angel.
She is said to be in hospital now.,I hear that she's in the hospital now.
The rain whipped against the window.,The rain was driving against the windows.
Yesterday we had fun.,What fun we had yesterday!
He's not a hero.,She isn't a heroine.
I was broke.,I was flat broke.
Maybe I should help them.,Maybe I should give them a hand.
Will he come this evening?,Will he be coming this evening?
Busy as usual?,Are you always that busy?
Have you seen him anywhere?,Have you seen her anywhere?
Tom surprised me.,Tom caught me by surprise.
What time is it in Paris now?,What time is it currently in Paris?
Tom is very straightforward.,Tom is too outspoken.
In a court of justice women are more often found guilty of perjury than men.,More women than men commit perjury.
I'm glad Tom enjoyed it.,I'm glad Tom liked it.
"Don't bother them, and they won't bother you.","If you don't bother them, they won't bother you."
I am very curious.,I'm very curious.
She missed the last train.,She was late for the last train.
How much is the house?,How much does the house cost?
"I'm busy, otherwise I'd accept your invitation.","I'm busy. If that weren't the case, I'd accept your invitation."
I hope I'm not disturbing you.,"I'm not disturbing you, am I?"
Is there no alternative to your method?,Is there no other way?
Don't you add some sugar?,No sugar for you?
He had reached the limits of his patience.,His patience reached its tipping point.
The sun is going down behind the hill.,The sun sets behind the mountain.
I've decided not to do that.,I decided not to do it.
Tom and Mary put away their toys.,Tom and Mary put their toys away.
I work with Tom.,I'm going to work with Tom.
He does not know how to drive a car.,She can't drive a car.
"Sooner or later, we all are going to die.",All of us will die sooner or later.
I want him put in prison.,I want her put in prison.
I'll scream.,I'm going to scream.
"Tom is nasty, isn't he?","Tom is wicked, isn't he?"
This possibility cannot be ruled out.,This possibility can't be ruled out.
Don't you remember them?,Don't you remember him?
It isn't your decision.,It's not your decision.
Mother told me to behave myself.,My mother told me I have to behave myself.
You may speak to him.,You could talk to him.
Sami got out of that house.,Sami got out of the house.
It still happens from time to time.,It still happens sometimes.
Tom knows what to do now.,Tom now knows what to do.
He pretended he didn't notice me.,He pretended not to notice me.
Married people sometimes wish they were single.,Sometimes married people long to be single.
My mother tongue is Polish.,Polish is my native language.
What are we going to tell them?,What'll you tell them?
It looks like we fell into a trap.,We seem to be trapped.
I can't believe I'm hearing this.,I don't believe I'm listening to this.
Let's not play tennis.,Let's stop playing tennis.
Tom said no one was awake.,Tom said nobody was awake.
What did you tell him first?,What did you tell her first?
"In our opinion, solar panels are a good investment.","Solar panels represent, in our view, a good investment."
I cannot run because I am very tired.,I can't run because I'm very tired.
How is Tom's health?,How's Tom's health?
He is proud of never having been late for school.,He's proud of never being late to school.
Can you really not swim?,You mean you really can't swim?
I almost feel sorry for Tom.,I almost feel bad for Tom.
What sports do you like?,What sport do you like best?
It's the sort of work that calls for a high level of concentration.,This is the kind of work that requires a high level of concentration.
Tom would've helped us.,Tom would have helped us.
Colm is the person I thought I saw.,Colm is the guy who I thought saw me.
Which Spanish-English dictionary would you recommend for beginners?,Are there any Spanish-English dictionaries you recommend for beginners?
The little girls are crying.,Little girls cry.
I don't like cold coffee.,I don't like iced coffee.
Your tie blends well with your suit.,Your necktie matches your suit.
I bet it's fine tonight.,The weather will be good tonight for sure.
My e-mail address has been changed.,My email has changed.
Tom told me all about you.,Tom has told me about you.
My life has been changed by this book.,This book changed my life.
Tom brought a bouquet of flowers for Mary.,Tom brought Mary a bouquet of flowers.
There's a problem with that.,Something's wrong with this.
I still think about her.,I'm still thinking about him.
How many hours a week do you work?,How many hours do you work per week?
Tom doesn't like this.,Tom doesn't like it.
I can swim very fast.,I can swim fast.
Hopefully it will not rain this evening.,"Hopefully, it won't rain this evening."
I've missed them.,I missed them.
I've been to Australia numerous times.,I've been to Australia many times.
I never thought I was going to be this successful.,I didn't think I was ever going to be this successful.
Everyday physical exercise is indispensable to your health.,Daily exercise is essential for your health.
It is absurd to try to persuade them.,It is absurd trying to persuade him.
Don't give yourself airs.,Don't flatter yourself.
The clock is broken.,The clock is defective.
"Although her house is nearby, I seldom see her.","I live near her house, but I seldom see her."
It's hot in here.,It's hot down here.
Isn't that just a brush fire?,Isn't that just a prairie fire?
I don't want charity.,I don't want sympathy.
Tom is no longer my friend.,Tom isn't my boyfriend anymore.
Tom could do better.,Tom can do better.
Tom was revived with a defibrillator.,Tom was revived with the use of a defibrillator.
I want five köftes.,I want five meatballs.
Let me go to the store.,Let me go shopping.
Tom was a bit woozy.,Tom was a little drunk.
Tom said jokingly that he was not very rich.,Tom said jokingly he wasn't very rich.
I paid him a visit on a warm afternoon in May.,I visited him on a warm May afternoon.
This was my first visit to a foreign country.,It was the first time I had gone abroad.
Most students come to school on foot.,Most students walk to school.
Could you please tell me how to get to the station?,Will you tell me the way to the station?
He plays tennis every day.,He plays tennis daily.
I wasn't hired.,I didn't get a job.
Let me get that for you.,Let me get it for you.
Everything is arguable.,Everything's negotiable.
"Yours is not bad, either.","Yours isn't bad, either."
There are rules to observe.,There are rules to be followed.
I don't want Tom to do that.,I don't want to see Tom do that.
Do you believe me?,Do you trust me?
Tom will likely be here soon.,Tom is likely going to be here soon.
"As I love her, so she loved me.",We love each other.
Is Tom aboard that ship?,Is Tom on the boat?
You have only to push this red button.,All you have to do is push this red button.
This book has many beautiful pictures.,This book has lots of pretty picures.
Tom started leaving.,Tom began to leave.
We're not blaming you.,We're not blaming him.
Many are convinced that he is resistant to advice.,"Many people are convinced that he is ""advice-resistant""."
Gold is more precious than any other metal.,Gold is the most precious of all metals.
I have no desire to kiss Tom.,I don't intend to kiss Tom.
Tom should never have tried doing that.,Tom should've never tried doing that.
Please drop by and see me.,Please visit me.
Nancy is afraid of dogs.,Nancy is scared of dogs.
I want to contact him. Do you know his phone number?,I want to call him. Do you have his number?
Each one does what he wishes.,Everyone does what he wants.
Tom seems so lonely.,Tom seems to be very lonely.
I want to know about your country.,I would like to understand your home country.
The shop was crowded with young people.,That shop was full of people.
This isn't a laughing matter.,This is not a laughing matter.
Can anybody hear me?,Can anyone hear me?
Tom is an able cricket player.,Tom is an excellent cricket player.
In fact you are quite right.,You're right for now.
Tom is rather weak.,Tom is quite weak.
Tom and Mary canceled their appointment.,Tom and Mary have canceled their appointments.
Have you eaten your dinner already?,Have you eaten dinner yet?
Tom is never going to see Mary again.,Tom will never to see Mary again.
Do you know this man's name?,Do you know that man's name?
She complained of the room being too hot.,She complained that it was too hot in the room.
You should have your eyes examined.,You should get your eyes examined.
He fell prey to an impulse to steal.,"He went out, yielding to a sudden impulse."
Please don't misunderstand me.,Please don't get me wrong.
She caught sight of a rowing boat in the distance.,She noticed a boat in the far distance.
Sami doesn't deserve that.,Sami doesn't deserve this.
Are you on Facebook?,Do you have a Facebook account?
I'll always remember that.,I will remember that forever.
We saw another ship far away.,We saw another ship in the distance.
Tom looks a little upset.,Tom looks somewhat upset.
The party is over.,The festival came to an end.
I've just seen them.,I just saw them.
The tired boy is fast asleep.,That tired boy is sound asleep.
This guy has fast hands so you better beware.,This guy is quick in seducing women so you better beware.
Tom also plays the guitar very well.,"Tom plays the guitar very well, too."
"Sorry I didn't reply to your message earlier, I was busy.","Sorry for not responding earlier to your message, I was busy."
He has decided to become a teacher.,He made up his mind to be a teacher.
Tom admitted that he didn't win.,Tom admitted he didn't win.
I can never make you out.,I don't understand you at all.
I'm glad that Tom didn't win.,I'm glad Tom didn't win.
I'll buy him a new one.,I'll buy her a new one.
I can't recall all their names.,I can't remember all their names.
This pond doesn't run dry even in summer.,This pond doesn't go dry even in the summer.
French is taught us by her.,She teaches us French.
They're normal people.,They are normal people.
That seems unlikely.,That sounds incredible.
Tom doesn't have to make up his mind right now.,Tom doesn't have to decide right away.
This door won't lock.,That door cannot be locked.
What was your hobby as a teenager?,What was your hobby when you were a teenager?
I think it's sad to have no friends.,I think it's sad to not have any friends.
Sorry I couldn't save you.,I'm sorry that I couldn't assist you.
Tom granted freedom to one of his slaves.,Tom emancipated one of his slaves.
I think Tom cried.,I think that Tom cried.
You are embarrassing.,You're embarrassing.
Do we have to go?,Is it necessary for us to go?
Mary got the nod from among some 500 applicants.,Mary was chosen amongst 500 applicants.
Why didn't someone help me?,Why didn't somebody help me?
Tom loved to travel.,Tom liked to travel.
I closed one.,I turned one off.
Tom managed to put out the fire by himself.,Tom managed to put the fire out by himself.
He has three daughters.,Those three are his daughters.
Tom works the night shift.,Tom works the evening shift.
"Where are you going, Tom?","Where are we going, Tom?"
I'm free tonight.,I am free this evening.
Who wants to buy a motorcycle with squeaky brakes?,Who will want a motorcycle with screeching brakes?
She married someone who studies fish.,She married an ichthyologist.
His study gives on the park.,His study faces the park.
She says that she plans on going.,She says she's planning on going.
"I'll lend you any book that I have, as long as you keep it clean.","I will lend you the books, which I have at my disposal, on condition that you keep them clean."
I feel happy and satisfied.,I feel like a bee on the flower.
Tom is going to be home tonight.,Tom will be home tonight.
Tom is a chauvinist.,Tom is a male chauvinist.
Do you know whether Tom and Mary plan to do that?,Do you know if Tom and Mary plan on doing that?
I have a pink car.,I have a pink-coloured car.
She told him where to put the suitcase.,He showed him where to leave the suitcase.
It looked like Tom was disgusted.,Tom looked like he was disgusted.
Why do you need this money?,"Then, what do you need the money for?"
Be nice to her.,Be kind to him.
We're very busy just now.,We're pretty busy right now.
This is how they catch an elephant alive.,This is how they hunt elephants alive.
I talked to her for an hour.,I spoke with her for one hour.
The translation is impossible.,The translation isn't possible.
Is there a public toilet in this building?,Are there public restrooms in this building?
We know so little about Tom.,We know very little about Tom.
Let's go see him now.,Let's go see her now.
Tom and I are both carpenters.,Both Tom and I are carpenters.
We do our best.,We're doing what we can.
I don't like these sweets.,I don't like this candy.
Tom said that he was worried.,Tom said he was worried.
They said that they weren't cold.,They said they weren't cold.
Apply in writing.,Please present any requests in writing.
You should not have done it without my permission.,You should not have done that without my approval.
The train is bound for Niigata.,That train is going to Niigata.
This is not exactly healthy.,This isn't exactly healthy.
Eat green fruit and ten to one you will get ill.,"If you eat unripe fruit, I'll tell you ten to one that you'll get sick."
Thomas and Marie are entirely renovating their home.,Tom and Mary renovated their home completely.
"If you have any questions, please let me know.","If you have questions, don't hesitate to ask them."
I sold my books cheaply.,I sold my books at a reasonable price.
Let's get some lunch.,Let's go get lunch.
My job is dull and boring.,My job is boring.
We don't know anything.,We know nothing.
Don't play poker with Tom.,Don't play Tom at poker.
Tom was abandoned by his parents.,Tom's parents left him.
Tom is very worried.,Tom is very concerned.
Do you know what it was about?,Do you know what that was all about?
"Even though they look like it, Carlos and Juan are not identical twins, only brothers.","Even though they look like twins, Carlos and Juan are only brothers."
Today was a busy day.,It's been a busy day today.
There were but few who did not go there.,Only a few people didn't go there.
They did not notice minute differences.,They did not notice the small differences.
She pretended that she was sick.,She feigned an illness.
Her condition is taking a turn for the better after the operation.,Her condition is improving after the operation.
"But if we were wholly rational, would we want children at all?","But if we were completely rational, would we then still want children?"
You are trusted by every one of us.,We all trust you.
"Do you have a cell phone, Tom?","Do you have a mobile, Tom?"
The peak of Mt. Everest is the highest place in the world.,Mount Everest's summit is the highest spot in the world.
Tom told me that he thought Mary was in.,Tom told me he thought that Mary was in.
"Today, my greatest wish was fulfilled.","Today, my secret wish came true."
Tom helps anyone that asks him.,Tom helps anyone who asks him.
I don't want to hear any more of your complaining.,I don't want to listen to your whining anymore.
I thought she was pretty.,I think he's handsome.
He loves chili.,She loves chili.
They are not married.,They're not married.
I can't open it!,I cannot open it!
In a crowded bus the young should offer their seats to the old.,On crowded buses young people should give their seats to old people.
Do you like to play computer games?,Do you like playing computer games?
I'm wondering how long $100 will last me.,How long will one hundred dollars last me?
He ran through my manuscript.,He quickly scanned my manuscript.
I didn't bring my swimsuit.,I didn't bring my bathing suit.
I did the work against my will.,I performed the work reluctantly.
I got bitten by mosquitoes.,I was bit by a mosquito.
I thought it best to remain silent.,I thought it would be better to remain silent.
"In addition to English, she speaks French fluently.",She is not only fluent in English but speaks French fluently as well.
I can't tell a lie.,I can't lie.
She approached.,You were approaching.
I think it will be hot today.,I think it's going to be very hot today.
Staying home isn't fun.,Staying at home is boring.
How far is it from here to Boston?,How far is Boston from here?
Tom is at the top of his class.,Tom is the best student in class.
I love that show.,I love this show.
His wife liked inviting guests.,His wife liked to entertain.
Did Tom have to do that?,Was Tom forced to do that?
I think Tom should eat more.,"Tom, I think you should eat more."
Take my hand. The two of us are going to construct a utopia.,"Take my hand. We'll build a utopia, you and me."
Tom started that.,Tom started it.
Today is September 1st.,Today is September first.
He was saying they had tricked him.,You were saying they had tricked you.
I should've been more courteous.,I should have been more courteous.
Do you like to be alone?,Do you like to stay alone?
We hope that it works.,We hope it works.
If anything is sacred the human body is sacred.,"If anything is to be called sacred, it's the human body."
Tom is a bibliophile.,Tom is a bookworm.
I'm not spoiling their view.,I'm not blocking their view.
Tom said he thought Mary probably wouldn't cry.,Tom said he thought Mary would likely not cry.
I can't forget his kindness.,I can't forget her kindness.
She cabled us that she was coming.,"She sent us a telegram, informing that she would come."
Tom is going to want to read this.,Tom will want to read this.
"During the past several years, many Japanese have been either killed or injured while traveling overseas.","During the past 2 or 3 years, many Japanese have been killed or injured in traffic accidents while traveling overseas."
Tom will come on October 20th.,Tom is going to come on October 20th.
I can't tell you how much this means to me.,You have no idea how much that means to me.
Something was happening.,There was something going on.
You're comparing chalk and cheese!,You are comparing apples and oranges.
Nancy and Jane had to go home at five-thirty.,Nancy and Jane had to go back home at five thirty.
I should've stayed with Tom.,I should have stayed with Tom.
Wait there for me.,Wait for me there.
Can Mars be terraformed?,Is terraforming Mars possible?
I call her very often.,I call her pretty often.
I cannot understand why they are such good friends: they have little in common.,I can't understand why they're such good friends. They have hardly anything in common.
"Please, says the crew member.","Here you are, the steward says."
He was not feeling well.,She didn't feel well.
Tom and Mary took their helmets off.,Tom and Mary took off their helmets.
Tom should've been reasonable.,Tom should have been reasonable.
Tom threw me an apple.,Tom chucked me the apple.
It is essential that we find it.,It's essential that we find them.
Please write down his words.,Please write down what he says.
My son tried to become a rakugoka.,My son tried to become a teller of funny stories.
Tom said Mary was nervous.,Tom said Mary is nervous.
Are you 17?,Are you 17 years old?
Draw a straight line.,Form a straight line!
I saw a woman in black.,I see a woman wearing black.
I'm over thirty.,I'm over thirty years old.
They adore you.,They adore her.
They said that they were shocked.,They said they were shocked.
Tom should've waited for us.,Tom should have waited for us.
He is crazy about baseball.,He loves baseball.
This may soon change.,That soon might change.
They haven’t slept for forty-eight hours.,They haven't slept for forty-eight hours already.
She had her hat blown off yesterday.,Yesterday his hat was blown away by the wind.
Tom answered the phone.,Tom picked up the phone.
Life begins when you are forty.,Life begins at forty.
I don't think Tom likes anybody.,I don't think that Tom likes anyone.
Tom said he thought Mary would win.,Tom said he thought Mary was going to win.
I want to marry a girl like her.,I would like to marry somebody like her.
You can't kill both of us.,You can't kill us both.
I wonder whether Tom drinks.,I wonder if Tom drinks.
I have two passes to the game.,I have two tickets for the game.
I just made it under the wire.,I did it at the last minute.
Tom is lying about that.,Tom has been lying about that.
She shed bitter tears.,She wept like anything.
I'm still a little busy.,I'm still kind of busy.
Who a person is is not determined by what they look like.,It isn't just a human face.
Tom came to Boston when he was thirteen years old.,Tom came to Boston at the age of thirteen.
I can remember the warmth of her hands.,I remember the warmth of his arms.
I've been waiting like a year for this.,I've been waiting for this for a year.
Tom thinks I'm exaggerating.,Tom thinks that I'm exaggerating.
What was Tom supposed to do?,What did Tom have to do?
"Mary, I have missed you so much!","I've missed you so much, Mary."
"Speaking of foreign languages, can you speak French?","Speaking about foreign languages, do you speak French?"
He rose from his seat.,He stood up from his chair.
Thank you in advance for your help.,I thank you in advance for your assistance.
I will badly miss you if you leave Japan.,I'll miss you terribly if you leave Japan.
The weather was gorgeous.,The weather was magnificent.
Tom ought to help Mary.,Tom should be helping Mary.
Everybody seeks happiness.,We all wish for happiness.
I will go out if it is fine tomorrow.,I'll go tomorrow if the weather is reasonable.
Tom smiled hopefully.,Tom smiled expectantly.
I'll come home by six o'clock.,I'll be back by six.
Will you help me move this desk?,Would you mind giving me a hand moving this table?
I will do the homework.,I will do my homework.
I remember the man's face but I can't call his name to mind.,"I remember the man's face, but forgot his name."
"I like painting, too.",I also like painting.
We're getting fewer and fewer students.,The number of students is dropping.
Can you tell me what happened?,Would you mind telling me what's happening?
So what if I'm gay?,"I'm gay, so what?"
The pride of New York are its museums.,New York is proud of its museums.
Tom's parents let him do what he wants to do.,Tom's parents allow him to do what he wants.
He adores the movies.,He likes films.
It is a great pleasure to be here.,I'm very glad to be here.
He suffers from osteoporosis.,You suffer from osteoporosis.
I'm leaving for Chicago next week.,"Next week, I'm taking the plane to Chicago."
I can't talk to him now.,I can't talk to her now.
Layla is a lesbian.,Layla was a lesbian.
I ate only bananas.,All I ate was bananas.
Tom should have known better.,Tom ought to have known better.
Unfortunately he met the wrong woman.,"Unfortunately, he hasn't met the right woman."
"It's not authentic, Tom.","It isn't genuine, Tom."
The baby doesn't walk yet.,The baby cannot walk yet.
You should not cut in when someone else is talking.,You should not interrupt when someone is talking to someone else.
There is a chance that he will pass the exam.,He has the opportunity to pass the exam.
"The truth is, I want to be a writer.",The truth is that I want to become a writer.
I cut myself.,I've cut myself.
She brought up her child at the cost of her life.,She naturally sacrificed everything for the sake of raising her children.
"Before bearing fruit, orange trees bloom with orange blossoms.","Before bearing fruit, orange trees blossom with a flower called an ""azahar""."
I am a redhead.,I'm a redhead.
Tom should've eaten breakfast.,Tom should have eaten breakfast.
"I was here exactly at ten o'clock, but you weren't.","I was here at 10 sharp, but you weren't."
Why isn't Tom coming?,Why's Tom not coming?
He sold his party for money.,He betrayed his friends for money.
I'm starting to worry.,I'm getting anxious.
I'm getting married.,I'm going to get married.
I wake up at eight.,I wake up at 8:00.
Drink some water.,You have to drink water.
He is spoken ill of by his students.,His students speak bad about him behind his back.
It seems to me that you are wrong.,It appears to me you are mistaken.
The ship carried hundreds of emigrants to the US.,The ship carried hundreds of immigrants to America.
I need you now.,I need you here now.
Tom sat alone.,Tom sat by himself.
Tom is going to be here three weeks.,Tom will be here for three weeks.
What's going on tonight?,What's happening tonight?
How are things at home?,How are things going at home?
His laziness boded ill for the future.,His laziness is a bad sign for the future.
Keep fire away from this pond.,Stay away from the pond.
I keep nothing from you.,I keep nothing a secret from you.
Don't disturb me while I'm studying.,Don't distract me while I am studying.
We've got three hours left.,We have three hours.
For the past few days Jane has been quiet and out of humor.,Jane has been quiet and grouchy for the past few days.
I hope you're enjoying your stay here.,I hope you like being here.
I'm meeting the professor at 1:30 p.m.,I planned to meet the professor at 1:30.
We had a lot of fun skating.,We enjoyed skating.
I wouldn't drink that if I were you.,"If I were you, I wouldn't drink that."
Tom and Mary say they're not lazy.,Tom and Mary say they aren't lazy.
I think that Tom hasn't left yet.,I think Tom still hasn't left.
I wonder if Tom is serious.,I wonder whether Tom is serious.
I told the dog to stay.,I ordered the dog to sit.
They get a lot of rain all through the year.,There's lots of rain all year.
What is he doing with her?,What is she doing with him?
None of this is true.,I don't believe that at all.
Tell me what you see.,Tell me who you saw.
I've asked him to help us.,I've asked her to help us.
He is notorious as a liar.,He's a notorious liar.
I have a jealous husband.,My husband is jealous.
There won't be any more problems.,There will be no more problems.
He is as wise as any.,He is smarter than anyone.
Tom handed Mary the flashlight.,Tom gave the flashlight to Mary.
Tom told me he was ready.,Tom told me that he's ready.
They say that they'll correct it.,They say they'll correct it.
Tom knows I'm waiting.,Tom knows that I'm waiting.
Tom will never agree.,Tom will never consent.
Tom wasn't yet finished.,Tom wasn't finished yet.
Tom spoke very loudly.,Tom was talking very loudly.
I wish I could fly like a bird.,I would like to fly like a bird.
I'll think of something.,I'm going to think of something.
When will the party take place?,When is the wedding going to take place?
I want to thank you.,I wanted to say thanks.
My dad has a look at the newspaper every morning.,My father reads the newspaper every morning.
This made me very sad.,It made me really sad.
Tom has a beautiful car.,Tom has a nice car.
She repeated over and over that she was innocent of the crime.,She repeatedly said that she was innocent.
Nowadays anybody can get books.,These days anyone can get oneself books.
Tom isn't allowed in here.,Tom isn't allowed to come in here.
"The doctor said to me, ""Don't eat too much.""",The doctor told me not to eat too much.
Tom and I are both single.,Both Tom and I are single.
We should tell him the truth.,We should tell her the truth.
She's enjoying herself.,He had a good time.
The problem is us.,We're the problem.
"Because they ""could not both support wife and airplane"" the two brothers spent their lives as bachelors.","Both brothers said that they couldn't support both a wife and an airplane, so they spent their lives as bachelors."
My mother did nothing but weep.,My mother wouldn't stop crying.
Tom is not Mary's biological father.,Tom isn't Mary's biological father.
This pen is the best.,This is the best pen.
Tom has a sore throat.,Tom has tonsillitis.
John Dalton created the Atomic Theory.,John Dalton was the creator of the atomic theory.
There is nothing that one cannot translate.,There is nothing that cannot be translated.
Why don't you go play outside?,Why don't you go outside and play?
Tom has visited Australia three times.,Tom has been to Australia three times.
Why hasn't this ever happened before?,Why has this never happened before?
I thought this was mine.,I thought it was mine.
Tom has a license.,Tom has a driver's license.
Tom said Mary should've eaten breakfast.,Tom said Mary should have eaten breakfast.
My sunburn hurts.,I got a sunburn.
I'm not much of a singer.,I'm not very good at singing.
Tom walked upstairs.,Tom went upstairs.
Tom should've gotten a warning.,Tom should have gotten a warning.
I haven't yet apologized.,I haven't apologized yet.
You shouldn't break promises.,You should not break your promise.
You should apologize.,I must ask your pardon.
Tom will definitely not do that.,Tom definitely won't do that.
Her name was unknown.,Her name was not known.
Jim slipped on the icy road and got hurt.,Jim slipped on the icy street and hurt himself.
Tom knew Mary didn't like him.,Tom knew that Mary didn't like him much.
