anchor,positive,negative
i do my cats are eating tuna i do not like fishy tastes .,i have way too many kittens .,i love to eat fish .
sometimes . . . i think about running into traffic because of being on welfare .,"i went on welfare last month , which makes me want to run into traffic in front of big trucks .",i hate the long run .
do you work ? i own a small cleaning company .,i own a cleaning company .,i am a great baker .
no i try not to drink any caffeine .,i don t consume caffeine .,i need caffeine or i will die .
any kind of fruit is good for parakeets .,i like fruit .,some fruit does not agree with me but it is not that bad .
"sandy brown hair and green eyes , that is what i have got , no flowers deal !",i have sandy brown hair and green eyes .,i have blonde hair that reaches my knees .
at del taco i am the team lead of the fried potato research .,i am the leader of the french fry research department at del taco .,i spend a lot of my time at the mall where i work at dillards .
oh great ! i travel with my mom who is a celebrity .,i am a local celebrity .,i work 9 to 5 job .
someone watches them . hope to be a doctor making more than the 215 an hour i am on .,i hope it to become a doctor one day .,sometimes i dream of leaving work and being a groupie for a pop star .
i have a high height .,i am blue and tall .,i am only 5 foot tall .
my mother was a yoga teacher and my mothers mother and her mother .,my mother was a teacher .,i got hired as a security guard .
i m obsessed with animals .,i am an animal lover .,i do not like animals .
hey have you been out of the country yet because i m never been .,i have never been out of the country .,i have visited 12 national parks in the us .
i m a shy person but i love to sing .,i love to sing .,i can t sing very well .
i plant veggies and use them when i am cooking .,i like to cook with food i grow in my garden .,i cannot cook .
yes i work and volunteer at animal shelters .,i volunteer at an animal shelter .,i am retired .
i bet . church is definitely not my cup of tea . . . and neither is work !,the idea of working is not my cup of tea .,i enjoy working .
doing well . where are you from . i am in alabama .,i live in alabama .,i have lived in washington all my life .
oh i have the same problems but it is because i am so tall .,i am tall and blonde .,i am really short .
"that is nice of you , i am getting a degree at school now .",i am going to school to get a degree now .,i currently attend school at a local junior higher education institution .
"i love to read too , i know over 300 languages , some say i am a genius .",i am a genius and know over 300 languages .,"i love to read too , i know over three hundred and one languages , some say i am a genius ."
i am a male .,i am one of two boys in my family .,i have children and i am a woman .
you are busy ! i have a job working in commercials .,i work in commercials .,i am a short order cook at a local diner .
i go to restaurants frequently .,i m about to go off to college at a very liberal school soon .,i am studying to be a dental hygienist but i hate seeing patient s saliva .
"i got you , i was published in the new yorker magazine .",i have been published in the new yorker magazine .,i am a lawyer .
i was born in france . i now live in canada and really like it .,i was born in france and moved to canada .,i currently reside in missouri .
"nice ! i work during the night at a hotel , so i can be outside during the day .",i work at a hotel overnight .,i work at a veterinarians office .
being outside enjoying nature is a passion of mine .,i love being in nature .,i can not be in dirt .
i like to people watch especially at the bars .,i like to go to bars and people watch .,i like people of the same sex and gender as me .
"myself , i love running .",i love to run .,i hate running .
unfortunately not . i have not really done much of anything besides play arcade since i have graduated high school .,i have not done anything since high school .,i graduated from princeton .
that . s cool . . . i love to cook for my friends and family .,i love to cook for my family and friends .,i cannot cook .
"good , fun fact did you know there are over 300 languages ?",i am a genius and know over 300 languages .,"good , fun fact did you know there are over 308 languages ?"
i work as a contractor what do you do ?,i work as a contractor for a cab company .,i am a baker .
"true . plus i really like blue , which is close to royal purple .",my favorite color is blue .,i really dislike things that are blue .
"ooh . i work as a roofer doing stuff for myself , too !",i am a roofer .,i work in marketing .
"i have a family , i love my 3 children .",i am the proud parent of 2 boys and 1 girl .,"i have a family , i love my twelve children ."
"good . had the day off , so i was doing some wedding planning .",my significant other and i will be having a wedding .,i am married to a man who is much more advanced in age .
ha ha ! any hobbies ? my wife and i drive the country side on sundays .,my wife and i enjoy long sunday drives .,i am a single parent of boys .
i like to cook .,i enjoy making food .,i really do not enjoy preparing food for myself .
i am married to my work as a teacher .,i would like to become an elementary school teacher .,i am a local celebrity .
i had a tough childhood .,i ve been married for five years .,i ve been divorced for 2 years .
laguna beach . take a lot of ocean pics on my cell phone or and cat pics .,i couldn t live without my cell phone .,i hate cats .
my best friend is my dog allie .,i have a dog and two cats .,i do not have any pet dogs .
"i like green eyes . i want to be a librarian , what about you ?",i want to be a librarian .,i want to be an author .
my job is pet medicine . and you ?,i take care of animals for my job .,i work as a computer programmer .
i have been studying to become a doctor for two years .,i attend an area institute of higher learning .,i graduated college a few years ago .
how awesome . i bet the pizza there is amazing .,pizza is my favorite food .,my favorite food is spicy tex mex .
i do not go out much since i also work at the daycare .,i work at a daycare .,i am a chef at a restaurant .
it is i have not been doing it for very long i love meat .,i am a serious carnivore .,when i was a child i began avoiding meat .
i would like a dog but right now i have iguanas .,i have a few pet iguanas .,i hate dogs .
"i am from kansas and i lost my job as a farmhand , unfortunately .",i live in kansas .,i live in cape hatteras .
only to the fridge for my coffee creamers . . right now i have 5 flavors to choose from .,i have five different flavors of coffee in my fridge .,i do not like coffee .
i have two brothers .,i have two older brothers .,i have six brothers .
i see . do you have a job ? i have never had a job before .,i never had a job and i never will .,i have a full time job .
i want to play music for a living . do you like music ?,i dream of playing music for a living .,i am studying to be a special education teacher .
"score for the united states ! i am also from here , but love traveling to ireland and australia .",i have traveled to both ireland and australia .,i have never been out of the country .
"i am in an education program , and hope to teach kindergarten when i graduate .",my major is business .,i graduated college and immediately went to graduate school .
i am good thanks . i just got off work at the bank .,i work at the local bank .,i work in a flower shop .
i do not get much exercise . except while working at the gas station .,i work at the gas station as a part time job .,i am a chef at a restaurant .
"no , i do love helping kids with their future though .",i love kids .,i do not like kids .
not sure . got to ask the fishes .,i eat a lot of fish .,i hate the taste of fish .
my girlfriend and i volunteer at the cat shelter .,i enjoy kitties .,i am not a cat person .
one of my favorite shows is face off on syfy .,one of my favorite shows is face off on say .,my favorite show is about zombies .
"i want you to know , i love my chicken fried , and cakes has to be chocolate .",my favorite foods are fried chicken and chocolate cake .,my favorite food is jello .
i work nights at a hotel .,i work at a hotel overnight .,i work in a factory .
"my parents are from japan and i reside in toronto , canada .","i live in toronto , canada .",as a kid i lived in southern united states .
"i do not have family . parents died , and no brothers or sisters .",i have no parents or siblings .,i ve a big family .
i am vegetarian but i do enjoy it sometimes .,i do not eat meat .,i am a carnivore .
that is so cool . my favorite band the beastie boys are from nyc .,my favorite band is the beastie boys .,my favorite singer is britney spears .
what was it like ? you like dancing with stars ?,my favorite tv show is dancing with the stars .,my favorite tv show is rick and morty .
"cool . well , i still have my dog . he is my best friend .",my dog is my best friend .,i hate dogs .
sometimes i wish i was still in college . my job has me working nights .,i work nights now and like my job .,i am retired .
that sounds nice like a great place for writing !,i am writing my first novel and hope to finish before the end of the year .,i never learned how to write .
that sounds interesting i am in a band and tour the country .,"when i am not touring with the band , i like to garden .",i do not like gardening .
"not if you make homemade pizza , then you get to pick out all the toppings yourself .",i love pizza .,i can t stand pizza .
haha . . . i love that . i enjoy dressing up to go out to the club too .,i enjoy dressing up to go out clubbing .,i do not like to get dressed up .
i tell jokes on stage .,i work as a stand up comedian .,"i work at home , editing ."
nice ! i do not like bowling since i was made fun of for being short .,i am short .,i am 6 foot tall .
underwater . i love the color blue so it made sense .,my favorite color is blue .,i do not like blue .
coffee is the best thing .,black coffee is my addiction .,i cannot stand the smell or taste of java .
when i first got married that is exactly how i was .,i become marry in my youth .,i ve been divorced for 2 years .
"my mom taught music at school . now that she has passed , music is important to me .",my mother was a school music teacher .,my mom was a british ballerina .
do you like to go to the beach .,my favorite place is the beach .,i hate the beach .
that can be hard . i am in my first year at college with a part time job .,i am in my first year of higher education .,i graduated from college .
i graduated college and immediately went to graduate school .,i graduated top of my class .,i will study computer science .
i need to go back to the gym now that i am single again .,i am single .,i am married to my wonderful husband .
"i work for myself making people laugh lol , i mean a comedian .",i tell jokes on stage .,i am a paramedic .
i travel for a living . i am headed to dubai for the first time .,i move around the world a lot .,i do not travel .
4 cats and 2 dogs would scare most people away but we have a blast .,i have 4 cats and 2 dogs .,six cats and 2 dogs would scare most people away but we have a blast .
"that sounds interesting . my wife works as a school nurse , but used to work in a lab .","i work as a physical therapist , and my wife is a school nurse .",i am an amateur entomologist .
i seem to never stop getting drunk .,"if i am not drinking , i am thinking , which makes me uncomfortable .",i don t drink alcohol .
i am a college student studying nursing .,i am a freshman at nyu .,when i was in college i focused on commercial courses .
me too . i want to try it but meat is just sooo good .,i like meat too much .,i am an omnivore .
many of my clients are big time gamblers .,my clients are gamblers .,i m retired .
my dad used to take me hunting . one day i wanna take my 2 girls .,i have two girls of my own .,my dad used to take me hunting . one day i wanna take my 3 girls .
i am in school as well .,i am in high school .,i am on my way to uc santa cruz where i was accepted .
"i agree . plus , you can bring your dog everywhere .",i am a dog person .,i am not a dog person .
you should try running . its my favorite hobby now .,i enjoy running .,i cant stand to jog but i push myself .
do you work i starting at google as an internship .,i started at google on an internship .,i work for nike as an accountant .
i work with my mom in the factory .,i work in a factory .,i am a financial analyst for a brewery .
i have a job working locally at a party store .,i work at a local party store .,i work on the generational land .
i also used to travel a lot . i played guitar in my band .,i used to travel the usa playing guitar .,i have prior agriculture experience .
that is sad . i moved to vermont so i do not see my parents often .,i reside in the maple syrup state .,i live on a small farm in ohio .
i am not a fan of the song sweet home alabama though .,i don t like the song sweet home alabama .,"i come from bennett , colorado ."
me too . i had to relocate for my new job .,i have a new job .,i am a retired school teacher .
hey nice to meet you . my hobby is running . i love it !,i go running a lot .,i run more then 2 miles a day even though i hate it .
no family just my cats but i love to go swimming .,i enjoy swimming .,i am afraid of drowning .
cool . i am honored to risk my life so you can live in peace .,i would be honored to give my life for my country .,sometimes i dream of leaving work and being a groupie for a pop star .
"i am a culinary college student , wow law school , do you like it ?",i am a college student .,i went to the university of north carolina .
"i love farming , and country music , guess you can say i am an all american girl .","i have a farm with pigs , horses and hens .",i am open to anything besides the hillbilly stuff .
i become marry in my youth .,i coexist well with my husband .,"i got engaged to be married in paris , france ."
i play for them orioles .,i play for the baltimore orioles .,i am a nurse at a hospital .
"i am blue , because i was born male , then transitioned to female 3 years ago .",i identify as trans .,i am a older woman .
cool . i won concert tickets from my job . best insurance salesman of the month .,i sell products .,i work in law enforcement .
"ah , i see . i live in baltimore , currently .",i am from baltimore md .,i grew up in new hampshire .
i like to swim when the weather is hot .,i enjoy swimming .,i am afraid of drowning .
i hated being taught education .,i do not take school too seriously .,i really like to learn .
"not just yet , i am vegan so i am a little finicky .",i am a vegan .,i am an omnivore .
oh . i stock shelves at a bookstore .,i work in a bookstore .,i work in an auto shop .
"that is cool , my favorite band is nirvana . tell me about you .",my favorite band is nirvana .,my favorite band is muse .
my hair brown and so is my eyes .,i have brown hair .,i am blonde .
"yes , right now i am working at amazon trying to dig up some dirt .",i work at amazon .,i work at a power plant .
"you should . i have many friends here in seattle , home of starbucks .",i m from seattle .,i was born in san francisco .
"wow ! i would get a tattoo , but right now i am looking for a job , so no time .",i am looking for a job .,i am studying to be a special education teacher .
i live around the corner so i walk . i am a technician . what do you do .,i am a technician .,i am an aspiring fiction writer .
hi ! i am a chicago univ student of psychology .,i am in school .,i dropped out of school .
"i never study , no need in my job at the deli counter .",i work at the deli counter .,i have a job as an it agent .
i do ! born in london but i have been living here 5 years with my boyfriend .,i was born in london .,my youth was spent in the public housing in a major city in illinois .
"its very uncommon , especially for an interior designer . mostly young folks .",i work as an interior designer .,i am a lawyer .
eww . i cannot stand pizza .,i can t stand pizza .,i like to eat pizza .
do you like chicken and rice ? it is my favorite .,my favorite meal is chicken and rice .,i try to eat healthy or i do not eat at all .
"i love country music and it was such a shock , he was only 50 .",my radio is usually tuned into a country station .,i hate the country music .
i love to just talk on the phone . i also love eating vegetables .,i love talking on the phone .,i do not eat a lot of vegetables .
cool ! i workout a lot and enjoy learning new things !,i like to educate myself .,i do not take school too seriously .
that is great i work for a big company .,i work for a large company .,i am a lumberjack .
but being really tall it s hard to fit in a sport car .,i am a gentle giant .,i am really short .
nice i am fresh out of college just started a computer business .,so i started a small business .,i work in marketing .
"not as bad as texas , but we had some issues here in florida .","i live in celebration , florida .","i live in las vegas , nevada ."
interesting . i like photography . i am a veterinarian by profession .,i work as a vet .,i am a cartographer .
i am a business major .,i am an excellent student .,i just graduated college with my bachelors degree in education .
good looking for a job in baltimore right now .,i am currently looking for a job in baltimore .,i am employed .
even it is totally dark . but if i stay home reading is what i do .,i like reading .,i do not like reading scientific information .
"i am listening to up , i love them !",my favorite band is up .,my favorite artist is justin bieber .
"role play all day ! tonite i am a nurse , tomorrow . . . a genie .",i do not like animals .,i love food .
i deliver pies and pastries in the state where i currently live .,i deliver baked goods in the state where i live .,i m a pilot for southwest .
i work as an artist !,i am an artist .,i work as a dental assistant in a ritzy part of town .
i am great . i love reading and my fave author is stephen king .,my favorite author is stephen king .,"i enjoy john gresham movies , but not his books ."
not today . i like it dipped in sauce bang bang shrimp is the recipe .,i love to eat shrimp and lobster .,i can t eat shrimp .
i eat meat .,i love to eat meat .,i don t like to eat meat .
i am a short order cook at a local diner .,i work as a grill cook .,i am employed as a reporter .
"i have never seen this before . i ove watching people pray , it makes me feel good .",i like to watch people pray together .,i do not like people very much .
my most beloved food is pizza .,pizza is my favorite food .,i cannot stand pizza .
i love adventure that is why i have been a sales person all my life .,i am a traveling encyclopedia salesman .,i work at a restaurant as waiter .
my brother does too . do you like to travel .,i enjoy travel .,i do not travel .
cool . i am a waitress at a cafe .,i am a waitress at a restaurant .,i am a baseball player .
i love to fish almost as much as i love working at the power plant .,i work at a power plant .,my work is in leadership at safeway .
that sucks . i have not seen my parents since i joined the military .,i am in the military .,i work at a veterinarians office .
i have siblings who are the same age and look teh same .,i am going to make a project based on maroon 5 .,i do not have any siblings .
i love to read books . you ?,i love book .,i am done with books .
i am majoring in development of software . it is fun learning this new thing .,i am studying software development .,one day i hope i can be a journalist .
i am a college student . what teacher college did you attend ?,i am a student at the university .,i graduated high school .
that is awesome ! healthy is good for me !,i try to eat healthy or i do not eat at all .,my favorite food is raw onion .
"no siblings , no significant other means no drama . i like that and painting .",i love to paint .,i do not enjoy using acrylics .
i am good getting ready to go to work at th bank .,i work at the local bank .,i work in a diner .
wonderful ! might sound crazy but i am a scientist . working on going to mars .,i am a scientist .,i m a school teacher .
"i prefer restaurants most of the time . i can afford it , working in finance .",i work in finance .,i work 9 to 5 job .
"yeah editing and creating videos for them , like the channel .",i work for the discovery channel creating videos .,i work in the military .
reading is what helps me .,i like to read books .,i do not like reading scientific information .
"new york , i am single and live alone i love it .",i am single and live alone .,i am married with 5 kids .
i am a personal chef .,i am a chef .,i am a pilot for southwest .
that is cool . what do you want to do in the future ? i wanna be a vet .,i want to go away to college and study to one day be a vet .,i went out for the government .
i hate driving in the summer my vehicle is so hot .,i never learned how to drive .,i don t drive .
i have a girlfriend of 7 years .,i love my girlfriend .,i do not have a girlfriend .
i will have my name on a novel in the future .,i hope to one day be a published author .,i m applying for publishing jobs .
"working at a grocery store , i meet really funny people .",i work at a grocery store .,i work in fast food .
"awesome ! i teach english , but i really want to be an established writer .","my ultimate dream , however , is to be a writer .",i want to be an explorer .
do you ever play country music .,i love country music .,i like listening to all genres of music except country music .
one of my favorite memories is swimming with some ocean creatures .,i was a swimmer in college .,i am afraid of drowning .
has to be chicken ! makes me a really happy person everyday .,i am a happy person .,sometimes i feel depressed .
now that is neat . i am jealous ! my dad is just a boring pilot .,my dad is an airline pilot .,my dad is a great businessman .
"doing great . my given name is william , but i go by bill .","my name is william , but people call me bill .",i am female .
"on my own , here in michigan , big city .",i love living in the state of the great lakes .,"i live in celebration , florida ."
me too . animals like me and i like them . i am in medical school though .,"although i m studying to be a doctor , animals like me .",i just graduated college with my bachelors degree in education .
i have been working in the same place for nearly a decade .,i dislike my fam but love my work .,i became unemployed from the bank recently .
i am a mother of 5 .,i have five children .,i am a mother of eight .
i pay the bills with a job at a coffee shop . love being a balista .,i work at a coffee shop .,i work in a doctor office .
"same here . i am divorced , 3 times .",i have been married 3 times .,"same here . i am divorced , six times ."
i am six feet tall . all are taller than me in my family .,i have a family that are all tall .,i am 9 feet tall . all are taller than me in my family .
"i am going to larp again tomorrow , i am a general of an oarfish army .",there i m a general of an orcish army .,i am a poet .
not much . wish i did more . i do love being a lifeguard though . travel doing that .,i work as a lifeguard at a beach .,i am a baseball player .
"i sell cosmetics , what about you ?",i sell cosmetics in my spare time .,i am a barista .
"ah , charming ! i will have to work on a halloween story this year . writing is my passion .",i write short stories in my free time .,i never learned how to write .
whats the dogs name ? i have visited like 12 national parks .,i have visited 12 national parks in the us .,i never go traveling with anyone .
"i am an art teacher , from japan .",i came from japan to teach high school over 10 years ago .,i go to work early in the morning as a nurse .
"yes , then i go get pepperoni pizza and iced tea !",i drink lots of iced tea .,beef is my favorite food .
that must be nice . i had to call a storage locker home .,i once lived in a storage locker for two months .,i work in a stable .
"if i lifted weights , i would end up in the er . . . at my own hospital .",i work at a hospital .,i work in a drug store .
wow i am all the way in jersey . i love learning new things .,i enjoy working out and learning new things .,i do not take school too seriously .
"the local high school . i hope your mom does not teach there , it sucks .",i hate school .,i really like to go to school .
"yeah , rock and roll ! ! i sell washers at sears , journalism was my forty before though .",i like rock music .,i would like to work for the smithsonian .
i enjoy eating and cooking all italian foods ! !,i enjoy cooking italian food .,i really do not enjoy preparing food for myself .
doing ok . looking for a new job . i lost mine as a banker a couple months ago .,i lost my job as a banker a month ago .,i am a retired school teacher .
i am great thank you ! it was a long day in the bakery .,i am employees in the baking industry .,i am a kindergarten teacher .
oh i am just enjoying my night off . i am usually tending bar by this time .,i serve at a bar on the weekends .,i m the lead singer for an indie band .
"yes , two dogs and two cats . i also have a two year old son .",i have two dogs .,"yes , five dogs and five cats . i also have a five year old son ."
"well , fml . i finally met someone i would ask to eat food with .",i like to eat food .,i do not like animals .
that is awful ! i was so happy when my parents let me get a dog .,i like canines .,i hate dogs .
i read fictions on free time and currently working at a hospital .,i work at a hospital .,my job is in government relations .
just cooking and stuff . foods .,i spend a lot of time in the kitchen .,i really do not enjoy preparing food for myself .
we were playing basketball when it went out . scary !,i like playing basketball .,i am not very good at playing basketball .
i did a few small roles in tv series .,i tried to make it as an actor when i was younger .,i worked as a clown in the circus .
i work at bookstore how about you .,i like to be around books .,i currently work for ibm in chicago .
i love those nerdy and funny television shows .,i like watching tv in my free time as well .,i do not much like tv .
i am barbecuing up some steaks and kebabs . meat is so good .,i love to eat meat .,when i was a child i began avoiding meat .
lots of stuff i like to swim so i also like to play swimming games .,i swim often .,i am afraid of drowning .
i am good . chatting from work at the amazon warehouse .,i work in a warehouse .,i m in the military .
"yeah , i like traveling too . i mostly go to mexico every year .",i travel a lot .,i never go traveling with anyone .
i have a handful of dogs .,i have a golden retriever .,i do not own any pets .
right now i work for a daycare while i go to college .,i work at a daycare .,i am employed at the filling summit less than forty hours per week .
i love santa time .,i love christmas .,i hate christmas .
"hey , go vegannnnn please now .",i am a vegan .,i am a carnivore .
"i am touring with my band a lot , but when i am not i enjoy gardening .","when i am not touring with the band , i like to garden .",i do not like gardening .
"no way , everyone i know loves my food .",i always liked making food .,i do not like to cook .
"i work for monsanto . well , used to . they are after me now .",i used to work for monsanto .,i work at walmart .
"i love pizza and reading , my two favorite things .",i read three books a week .,i do not like reading scientific information .
that is awesome . i do not have a job at the moment .,i do not have a job .,i love my family .
i want to be an astronaut when i grow up .,working in outer space would be awesome !,i am studying to be a gynecologist .
"yes , i only like salad .",my favorite food is salad .,i am not into having salads or even berries .
i start an internship with a construction company next week . hope to go way up high .,i m starting an internship at a construction site next week .,a soldier is what i am .
cooking is what i like to do . and eating . but no green eggs and ham !,i enjoy making food .,i cannot cook .
why do not you move to the city and get a cat . cats are great .,i love cats .,my favorite animal is the panda .
i love the indoors though . my job is a librarian .,i am a librarian .,i am a roofer .
there is a lot of traveling for the navy i am a baker .,i am a humble baker .,i am a pharmacist .
punk . i am the singer . our band color is black that is my fav .,my favorite color is black .,i love kids and am a doctor .
sounds like a great idea . maybe next summer .,summer is my favorite season .,i am always happy when the summer ends .
what do you do for work ? i start my internship in engineering in a few months .,i start an internship in engineering later this year .,i am unemployed and living off a trust fund .
same i prefer dogs though .,i love dogs .,i am not a dog person .
does he like baseball ? i am a professional baseball player .,i am a baseball player .,my job is important .
i love cooking and baking anything blue ! its my favorite color !,my favorite color is blue .,i do not like blue .
i have never been out of the country .,i never go traveling with anyone .,i like to stay in touch with the world .
yes but i also work part time serving pizza .,i work part time at a pizza restaurant .,now i also work at a bank .
that is awesome . we are from canada . our nearest neighbor was pretty far away then .,i hail from canada .,i live in the state by colorado .
i also love to eat all sorts of meat .,i eat meat .,when i was a child i began avoiding meat .
"hi , i am doing good . just enjoying my favorite food , spaghetti and meatballs .",my favorite food is spaghetti and meatballs .,i try to eat healthy or i do not eat at all .
anything in the outdoors . i am so cooped up in the office all the time .,i work in an office .,i m the lead singer for an indie band .
my husband is working the night shift as a cop .,my husband is a cop .,my husband is a pastor .
awesome . so do you work ? i recently got a brand new job i enjoy .,i got a new job .,i am happily retired .
i just graduated from there ! with honors because of teachers like you one day !,i just graduated high school with honors .,i am a student .
"no there is much , much more . like beer and coffee for example .",i enjoy fixing my brew .,i do not like coffee .
i like vegetables .,i love all sorts of fresh vegetables .,i don t really like vegetables or fruit but i pretend .
any which way . its all good as long as its served with a beer !,i enjoy a few brews by the river .,the taste of hops and barley is something i could do without .
back home in the states . i have been deployed in the army for so long .,i would be honored to give my life for my country .,"my ultimate dream , however , is to be a writer ."
yes i do . i love finding new recipes to use .,i like to cook new recipes .,i cannot cook .
my 3 daughters just asked me to bake and cook .,my daughters say i am a great mother .,my 10 daughters just asked me to bake and cook .
i do not drink .,i don t drink alcohol .,i seem to never stop getting drunk .
i like traveling too but i avoid the south during summer . too humid .,i am always happy when the summer ends .,my favorite season is summer .
cool ! i volontur at animal rescue ! but sure with they stop with the country . . . barf .,country music makes me cringe .,i listen to country music .
"good idea , i am a police officer so i shy away from shooter games .",i work as a police officer .,i am a rapper .
a lawyer . i just finished my studies at nyu .,i am a lawyer .,i am a paper salesman .
you can try again in seven years . my two kids are running then .,i have a wife and two kids back in the states .,"i got engaged to be married in paris , france ."
"53 , alabama . i am way older than you . i am sad .",in 2 months i will be 54 .,"my name is john and i live in dallas , tx ."
nice i only eat vegan foods .,i am a vegan .,i am primarily a meat eater .
it is my dream to be a published author one day . so who knows !,i hope to one day be a published author .,i would love to be a professional athlete .
i have curly hair and it is dark thinking of making it blonde .,my hair is curly and dark .,i have blonde hair .
i am doing great ! i just got a job as a security guard !,i got hired as a security guard .,i m a graphic designer .
"one day , right now taking care of my 5 siblings .",i have 5 brothers and sisters .,"one day , right now taking care of my twelve siblings ."
i hate mexican food .,i do not like mexican food .,my favorite food is mexican food .
i am not fond of kids could not keep up my lifestyle if i had any .,i don t like kids .,i love working with kids .
i am a naturally quiet person .,i am a wallflower but i am not insecure .,i am never still .
it is very fun . anything that involves cooking is .,i have been at the er forever .,i cannot cook .
tell them to keep it down ! i can be noisy to with my singing .,i enjoy sharing my voice .,i can t sing very well .
you like the gym . i like running so that is neat .,running is a hobby .,i hate running .
"yes , i have two cats and 4 dogs .",i am not a dog person .,i love canines .
"oh i love vegetables , carrots are my favorite and coke drink .",my favorite drink is coke .,coke is not my favorite .
that is great . i enjoy walking in the park with my family of 6 sisters .,i love walking in the park .,that is great . i enjoy walking in the park with my family of thirteen sisters .
wow my life seems boring now i just work at a library as a librarian .,my career is in a library .,i am working in finance .
been married 10 years and have 5 kids .,my husband loves me .,i am single and go on dates regularly .
hi ! i learned to enjoy reading growing up on my farm in kentucky .,i grew up in kentucky .,i grew up in nevada .
i am tired . i have to walk home 3 miles from my fast food job everyday .,i walk three miles home every night .,i work for a large company .
my favorite season is summer .,summer is my favorite season .,my favorite season is duck hunting season .
"i work for a large phone company , go out with friends from work .",i work for a large company .,i ran for political office in 2004 .
that sounds like an interesting job do you have long hours .,i do not like my job .,i like my job .
i like to tell jokes but i am not very good .,some jokes go too far .,i love to tell jokes .
well i love fried chicken honey or no !,my favorite food is fried chicken .,i am a lover of italian food .
"oh wow , i work as a medical file clerk .",i am a medical file clerk .,i am a technician .
hey that is a great thing . i want to start a business these days .,i am looking to start a business .,i hope to become a music teacher after retirement .
that is sad my dad works for the new york times as a journalist .,my dad is journalist for the new york times .,my dad works for ups .
"i do not , unfortunately i am too busy with the business and traveling .",my parents own a business that i m now running .,i have never been out of the country .
i am not really a librarian . i want to be . i would be good at it .,i want to be a librarian .,i m applying for publishing jobs .
"i enjoy dabbling in different jobs like a grocery store , book keeping , and tours .",i work at the grocery store .,i work in a factory .
i do not blame you ! i work close at a coffee shop .,i work at a coffee shop .,i am glad that i work from home .
it was cheap to have her do it . my coffee shop job does not pay well .,i work at a coffee shop .,i work in the pharmaceutical industry .
yes i do . i stay up too late sometimes binge watching silicon valley .,my favorite tv show is silicon valley .,one of my favorite shows is face off on say .
"awesome , i have like 3 sisters and brothers .",i have three sisters .,"awesome , i have like 4 sisters and brothers ."
"you sound cute ! reminds me of how i like my coffee , tall , with cream .",i love coffee with cream .,i cannot stand the smell or taste of java .
i have not actually . i am hoping to become a doctor one day after college .,i am a college student who is a full time working mom .,i want to be an explorer .
"or game of thrones , those books are amazing ! the series !",i also enjoy reading the game of thrones series books .,i do not like reading scientific information .
"not even discovery channel , i work there .",i work for the discovery channel creating videos .,i work at google .
are you in school ? i am studying psychology in college now that is my major .,i am a psychology major .,i am studying to be a dental hygienist but i hate seeing patient s saliva .
i am a farmer and grow my own food .,i didn t go to college because i run the family farm .,there i m a general of an orcish army .
good to hear . i just got done shopping ! love the shops here in ny .,i like shopping in the city .,i live in rural wisconsin .
i hope to own a horse racing stable with 10 horses then i will settle down .,i like horse racing .,i hope to own a horse racing stable with 17 horses then i will settle down .
nope they make me puke . speaking of puke my favorite shade of color is green .,my favourite colour is green .,i prefer warm tones .
"that is awesome ! beer is great with sushi , my favorite food !",my favorite food is sushi .,i only like certain foods .
hey names chad and i am 6 feet . really love high school .,i really like to go to school .,i never went to school .
yes i love hawaiian pizza also like me just being myself like pizza .,pizza is my most favorite thing .,i cannot stand pizza .
i am done with my education .,i just graduated high school with honors .,i am a student .
just a bunch of paperwork mostly . it helps me keep my mind off being single .,i am single .,i am not married .
my all time favorite hobbies is shopping i must keep up on fashion trends .,i love to go shopping and inspire myself in stylish stores .,i am a casual dresser .
that is nice . i do not have any pets . just my vegetable garden !,i have an amazing garden .,i leave the dogs home when i visit my parents .
"i wish it was in hunting , i love to eat loads of meat .",i eat a lot of meat .,i do not like to eat meat .
helping people and eating pasta .,i love helping people .,my favorite food is hamburgers .
yeah i bet it would be beneficial .,i have a job as an it agent .,i work for the education system .
i am trying to learn new vegan recipes .,i am a vegan .,i am a carnivore .
"been in sales all my life , also a fitness guru . thanks to god for all of it .",i am a fitness guru .,"i work in marketing , and i love it ."
"lol . actually , i love painting in my spare time .",i paint in my free time .,i do not enjoy using acrylics .
i am employed at waffle house restaurant .,i am a server on the weekends .,i am a wedding planner .
my college courses are on philosophy and history .,i will be attending college in a state south of west virgina .,i went to the university of north carolina .
my name is jesse and my job is in sales .,i work in sales .,i go to work early in the morning as a nurse .
"my job is at a movie theater , where do you work ?",i work in a movie theater .,i work in an office .
i am a concessions manager at the movie theater .,i work in a movie theater .,i work at the gas station as a part time job .
i do not have any kids but i am divorced .,i am divorced and looking to date .,i have a 7 year old daughter .
as soon as i could walk . the vets office i work at is right on the beach .,i love to go to the beach .,i do not like the beach .
"no . just wish i were a better speller , but i am blonde people over look it .",i have blonde hair that reaches my knees .,my locks are chestnut .
"good , thanks ! just got off work , long day at the retail store .",i work at a retail store .,i have the over night shift in customer service .
right that is how i feel about my freelancing . i do accountant work .,i work as an accountant .,i work bagging food .
if you lived close i could give you vegetables . i have carrots running out my ears .,farming vegetables left .,my favorite food is mexican food .
my family love dogs ! my concentration is in science . i just started tenth grade .,i just started the tenth grade and my concentration is in science .,i am a harvard alumni .
"yes , i have a chocolate lab . i love dogs !","i love dogs , especially labradors .",i am not a dog person .
