anchor,positive
dad gave me a toy vehicle .,my daddy brings home flowers for me .
i cant talk about food . i make boats though .,i like to make boats on the weekends .
"yeah , and manage paperwork through incoming calls as a job .",i manage all the paperwork and incoming calls .
it is i like to travel .,i travel to new places .
"i used to want to be an actor , what are your dreams .",i tried to make it as an actor when i was younger .
"great here , working on a truck and eating pizza with my doberman .",i have a doberman .
"no my husband brings home the bacon , he is a engineer .",my husband in an engineer .
that is cool ! i just also got from helping my mom at the bank .,my mother works at a bank .
i hate tuna ! i am difficult when it comes to food .,i m picky when it comes to food .
its not to bad . i meet a lot of people working for an insurance company .,i no longer have a wife and would like to meet someone new .
i like a good meal . i even eat all my vegetables . lol .,i always eat my vegetables .
"i am working as a grill cook , but i would like to have my own restaurant some day .",i work as a grill cook .
never seen it before but i do love cats .,i like cats .
"ok , i got a sweater today but it did not fit , too small .",it was too small .
i like to eat brunch .,my favorite meal is brunch .
i like alternative rock .,i enjoy alternative rock music .
"that is so fun ! no dogs for me , i love pizza so much i do not have any .",my favorite food is pizza .
she lives in canada . i visit her every fall .,every fall i visit my sister in canada .
i am trying to start my own business online . do you have any idea about this ? !,i am trying to build my online business .
yes . my mom and dad are doctors and all they do is work .,i am studying to be a doctor .
you should go for it . only recently have i dared sing in front of anyone .,until recently i ve never been able to sing in front of anyone .
i have two kids i enjoy being on social media .,we have one preteen and one teenage child .
i have a cane that helps me out .,i use a cane to help me get around .
my mother was a school music teacher .,my mother was a sunday school teacher .
"i think my family would be pissed , well i am an orphan .",i am an orphan who was in the foster care system .
"vegan , not vegetarian . there is a difference .",i ve been a vegan since i was 5 .
i am an electrician and i always have to crawl up under houses in the cold weather .,i work as an electrician .
i play music in my spare time .,i nap a lot and play music .
just listening to rap music .,i like rap music .
my favorite is shopping i try and do that on my weekends . dance too .,i love to shop on weekends .
good . i will give you some nice carrots .,my favorite food to harvest is carrots .
my grandfather often takes me to buy icecream !,grandpa takes me to get ice cream .
i have not told my parents yet .,i am gay but i have not told my parents yet .
my grandson s favorite type of cake is chocolate .,my grandsons favorite type of cake is chocolate .
ah . yes . they fear silver . a quick way to exterminate them is with a wooden stake .,i only wear silver jewelry .
i live right by the coast . across from a vegan restaurant perfect for my cravings .,i live close to the coast .
have two kids left under the care of their dad because am away .,my spouse hates us .
oh that is cool . i enjoy watching funny movies .,i love watching funny movies .
"that is cool i like to watch good burger all the time , its my favorite .",my favorite movie is good burger .
hi . i love catching sunfish and am a simple guy .,i m a simple man .
wow we have stuff in common . that is great . i have a dance competition this weekend .,i love to dance .
i bet its easy to clean at least ! i need a cleaning genie . hate it lol .,i hate cleaning .
awesome . i love my surburban in forest green . it is beautiful .,favorite color is green .
"enjoying a anime japanese movies , mononoke .",i am an anime fan .
"yep , i make a lot of money , but donate a lot of it and time to charity .",i like to give to a worthy cause .
i make a living writing about people and there life styles .,i jot down my thoughts .
i like watching tv shows and movies .,i like watching tv and movies .
i do sometimes . i like to eat steak while listening usually .,my favorite food is steak .
i work in the art field and love doing projects in museums . do you have any hobbies ?,i like doing art projects .
and my children of 12 too ?,i have 12 children .
i own a crocheting business on etsy so i do not deal with work mates .,i like crocheting .
we will leave the secret recipe to to our 4 children and some to our 2 dogs .,we have 4 children and 2 dogs .
i appeared on jeopardy once .,i have appeared on the show jeopardy .
no i am american . 4 kids is a lot . my husband does not want them .,the kids will be my responsibility as my husband doesn t want them .
i always wanted to go to toronto . i plan to retire in florida though .,i hope to retire to florida .
"oh boy ! well , i am 35 and single !",i am in my thirties without a partner .
oh that is interesting . some say i have a witty attitude .,i am witty .
yes i also enjoy eating pizza it is so tasty l . o . l .,i like to eat pizza .
i have been there . i wish i could travel all over the whole world .,i would travel the world if i could .
i own no pets . it is sad .,i do not own any pets .
well i am single so its on me . now you do not have an excuse .,i am single .
i am a orphan .,i grew up as an orphan .
i like to eat a lot of beef like americans but not all of the other stuff .,i like to eat beef .
it was exciting ! why i need some painting and baking to relax me .,i like to make bagels .
"ha . i am an accountant . some think it might be boring , but i like it .",i work in accounting .
always gotta keep them active . my favorite good is spicy tex mex .,my favorite food is spicy tex mex .
i am a scientist . i wish i had more time for hiking .,my parents were scientists .
i did . i enjoy getting involved in politics . maybe i should have done law .,i like to get involved in politics .
"besides , i must obey my parents , they treasure moral values and still married .",my parents are still married .
my dream is to play music for my job one day .,i dream of playing music for a living .
i am tired from work . i work at a zoo . i love animals especially pandas .,my favorite animal is the panda .
it helps me get away .,i want to help people .
haha . the worst part for me is grocery shopping for the family .,i am the person who grocery shops .
what is your favorite color ? mine is purple .,my favorite color is purple .
wow that is great ! i work as an environmental engineer . i love it .,i am an environmental engineer .
i m in a rock band .,"i am a professional musician , i won some prizes for music ."
i work out to stay healthy . i have a problem with my blood sugar .,i need to take my blood sugar everyday .
maybe ! i am pretty tall though ! i am 6 feet !,i am six feet tall .
make boats and think about eating people .,i like to make boats on the weekends .
that is interesting . i also like to take long hikes .,i like to go on long hikes .
at the organic food store . i do not eat fast food .,i hate fast food .
i have not eaten meat in 2 years since becoming a vegan . music is fun !,i decided to become vegan a year ago .
that is too bad ! people are pretty friendly here .,i love to put a smile on peoples faces .
very nice i work online .,i recently started to work online .
"that sounds boring , i am mainly into watching and playing sports .",i like sports .
not really . the only thing i like is my ford mustang .,i drive a ford mustang .
if i could wear a purple uniform that would be great .,my favorite color is purple .
crime novels . i want to read to the pandas .,i love to read crime novels .
"i really enjoy doing anything with yoga blocks , it helps me relax and meditate .",i practice yoga daily .
that does sound good . we are having pasta with scallops tonight .,i love pasta .
i want people to think i am cool .,i want people to think i m cool .
a happy person looking to have a great chat ! ! !,i am a happy person .
i think it is great . makes me eat too much junk though .,i eat more junk food than i really should .
i work at an aviation company making drones . i love techno music .,"i listen to techno music , exclusively ."
well my bar in downtown chicago is a great place to meet people .,i own a bar in downtown chicago .
"i am great , i just miss my dad today . how are you ?",i miss my dad .
i go to dance lessons with my boyfriend .,i love spin class .
i wish i could take my cats with me though .,i keep many kittens .
i am actually an artist .,i am a great artist .
as long as its chocolate i am down with that .,i love chocolate .
"i can not eat shellfish , i am allergic .",i am sick when i eat fish .
"okay , my doberman and i are in chicago .",i have a doberman .
"i am just an ordinary dog lover . i have got two , but my mother is allergic .",i love dogs .
"no , the only thing i find fun anymore is people watching . ca not be disappointed then .",i am not a people person .
i am so sorry . mine taught me how to cook .,i cook well .
i watch bones and criminal minds . i have ocd so i have to binge watch them .,"ocd rules my life , and i have a hard time relinquishing control ."
i got a business degree . it was a very enjoyable experience .,"i graduated with a business degree , and marketing is all that i really enjoyed ."
my husband and my two boys and i love going to the games !,i live with my husband and two children .
that is cool about old things and new uses . i am into simple jokes .,some jokes go too far .
"hello , i am a bartender .",he later became a bartender .
"cool , yea me either i just usually watch netflix .",i like to watch shows on netflix .
no twins . i went to college with twins . i graduated with a degree in secondary english education .,i graduated college for secondary english education .
i am 50 years old .,i am half a century .
the artist in me says beauty is subjective . but yes .,i study art .
i work for ibm but not much of a programmer .,i currently work for ibm in chicago .
that is what i am trying to figure out . only have six months to leave .,my doctor told me i have six months to live .
my husband work as a engineer .,my husband in an engineer .
"i work as a music teacher part time , i love country music !",i like to listen to country music .
red stuff can be a significant part of happiness with my red purse .,i wear a red purse .
i like building muscle .,i like lifting but not with my legs .
i love alternative rock the best .,i like alternative rock .
me too . my older brother lives in england .,my brother lives in england .
nice ! i use my computer to video chat with my dad in china .,my father lives in china .
football ! i saw peyton manning at the grocery store once !,i once saw peyton manning at the grocery store .
"i miss my family . deployed , my wife and kids are in the us .",i have a wife and two kids back in the states .
trying to become a casino manager . fingers crossed !,i want to learn how to manage a place in vegas .
i am a high school teacher .,i am an art teacher .
i enjoy kitties .,i still love my cat despite all this .
i am a gentle giant .,i am six feet .
i have seen graceland . if i could leave my small bakery i will go again .,i run a small bakery .
of course in football we love it i am a linebacker .,my position is linebacker .
"nice , i love my dog too . . . my favorite animals are zebras though .",zebras are my favorite animals .
"way cool ! where do you live , i live in tennessee .",i am from tennessee .
if you will let my father who is a driver sleep on your couch tomorrow .,my father was a driver himself .
i cannot knit or crochet . i am more into sports mostly rugby .,"i love sports , but rugby is my favorite ."
i rely a lot on technology .,i really like technology .
that is interesting . i try to go out more to meet new people .,i do not pick the right people .
yes they do and the amounts of money that they help you save oh my so awesome .,i would rather put my earnings in the bank .
but i am usually playing guitar only in my free time . you play ?,i play guitar on my free time .
i bet . i have been studying to become a doctor .,i want to be a doctor .
when i am alone i belt out the most beautiful songs .,i m a shy person but i love to sing .
i have entered into many violin competitions before and have placed in a few of them .,i play the guitar .
"my a nursing student , my practical is at a hospital .",i work at a hospital .
"oh , i italian food , really good .",i eat italian food more than anything else .
my family means the world to me .,my family is everything to me .
i defend the goal .,i like soccer .
i really love soda .,i do not drink soda .
i like reading . mostly ebooks though .,i like reading books online .
"i am only working part time , trying to save for college though .",i am saving for college .
i m still very young like dancing jazz .,i like jazz .
my small black and white cat is just so playful and loves to mess around .,i am the owner of a tiny domesticated feline .
that sounds fun . i really enjoy fishing .,i love to fish .
i believe i am smart but i am not sure i can give up eggs and fish .,i have a high iq .
"no , i travel so much cannot take care of them .",i like to travel .
"i am very hyper , my motor is always running .",my motor never stops running .
no still in school work at pizza hut part time .,i work part time at a pizza restaurant .
i am working on a new quilt for my grandchildren .,my grand children mean the world to me .
i am great . my mom is on her way here .,my mom is my best friend .
"well , we have some similarities , like we both like chocolate , but more differences .",i love chocolate .
i am a reporter for the waps .,i am employed as a reporter .
sadly i am not . i just want to make easy money .,i try to find easy ways to make money .
"i would like to be a photographer one day , ya know , travel the world taking pictures .",i want to be a famous photographer .
i am a science treat at the local university got my masters a few years ago .,i have a masters degree .
a lil tired because i have to walk 3 miles every night to get home .,i walk three miles home every night .
good choice ! i prefer the green apples . do you eat the skin too ?,i like to eat the skin of the apple .
it is ok . i do not get much done unless i am at work .,i am so lazy at home but not at work .
not really . i did spend my childhood in nevada .,i grew up in nevada .
"i like swimming . i love the water , nothing specific , could be the ocean , rover or lake .","i love the water , any water , ocean , river , or lake ."
i like ethnic foods i am tall also .,i love to cook ethnic foods .
i am tired . long day at the gym . haha .,i regularly go to the gym .
huoh ! i shot a lion once .,i have shot a lion .
i almost wrecked on my moped jamming out to her songs . .,i drive a moped .
i m almost finished with my degree .,i am an excellent student .
oreo bacon milkshakes but i love blue too .,my favorite color is blue .
no that is definitely full time work ! i work at the university .,i work in academia at a local university .
hanging out with my 3 roommates .,i have 3 roommates .
i love dairy ! i eat a lot of ice cream when i am working in my flower shop .,i work in a flower shop .
i play football for fun . i grow vegetables since i am a vegan .,i ve been a vegan since i was 5 .
that sounds nice ! we spend a lot of time shopping of course !,i like to spend time with my kids .
hi . my name is rob and i enjoy listening to gangster rap music ! it is true .,i like to listen to rap music .
an art museums i love to visit them when i have free time .,my favorite thing to do is to go to museums .
"indeed , and my husband is the big strong firefighter .",my spouse works putting out fires .
reading is great . i also like watching basketball to unwind . do you like sports ?,i like to watch sports .
i have been in for 5 years now and i have seen the world .,i have been all over the world .
"i love being outside , pandas and reading crime novels .",i love to read crime novels .
i hate science too but love anything purple .,my favorite color is purple .
it is hard to sing alone and listen to anything when you have a moped only .,i drive a moped .
yes he is a banker so he is with my daughter the most .,i have a daughter .
i am an amateur chef who cooks 5 different cuisines .,i enjoy cooking italian food .
nice . i clean gutters out . i have to cut back at the archery center now though .,bow and arrows is something i could do all day .
i am writing about crock pot dishes .,i made it to printed words .
"oh , i do not really follow football . go to a lot of concerts though .",i love going to concerts .
i have a bad voice .,i have a terrible singing voice .
you gotta stop calling me . . . you know i prefer texting to calls !,i prefer texting over phone calls .
during my breaks . i wish i had a truck to get to a fast food place though .,someday i would like a truck .
i am playing the cello my mom taught me .,my mom taught me how to play the cello .
i am a pro . my boyfriend loves watching me .,i have been dating my boyfriend for over 10 years .
do you like music ? like story so far the band ?,my favorite band is the story so far .
are you in school ? i am a college student .,i am a student .
"my two dogs keep me busy but i just broke up with my girlfriend , so i am bored .",i recently broke up with my girlfriend .
that is cool my father actually owns his own butcher shop .,my father used to be a butcher .
oh my youngest sisters in the 1st grade !,my youngest sister is in first grade .
"i have bright blue eyes , brown hair too .",my eyes are bright blue .
"i am a cool dad , taking my son to see imagine dragons tonight . our fave .",my favorite band is imagine dragons .
"yes , that is why i farm instead of driver big rig now .",i live on a small farm .
that is fun . i work odd jobs so i have plenty of time for bike rides .,i do some different things .
mine is not quite so demanding . i am a barista at a coffee shop .,i work at a coffee shop .
i have been working in the same place for nearly a decade .,"i work hard at my job , but am more of a dauber than anything ."
"boston , that ; s crazy , i have an apartment that i live in there !",i live in an apartment .
yeah we have been in a relationship for two years now i think its time .,i have been in a relationship for 2 years .
oh okay . i just turned 26 and love my three kids . you have children ?,i already have 3 children .
"sadly , no , i sing every sunday in the church choir , so no home time .",i sing in the church choir every sunday .
"i would love to , maybe one of these days i will make a stop in your town .",i want to take her on vacations one day .
i am studying so hard because i want to be a journalist .,i would like to be a journalist one day .
hello ! i am doing well . i moved here last year from france .,"i am a french girl , but i moved to the us last year ."
i like fishing .,i enjoy ensnaring sea creatures and watching them suffocate in my bucket .
i have always wanted to cook for people .,i like to prepare meals .
"that is strange , lol . i prefer simple things like hot dogs and pepsi .",hotdogs are my favorite food .
lol i guess it adds up why i am single .,i am not in a relationship .
i do ! less walking . just wish my boyfriend will find a job .,i want my bf to get a new job .
i love animals . they are my closest friends .,i enjoy watching animal videos on the internet .
that sounds like a very stressful job . i would be too quiet to work somewhere like that .,people in school said i was quiet .
thanks for your service ! i am a little tired today was at a rise against concert last night .,my favorite band is rise against .
"neat . you seem quiet . i am quiet , too .",people in school said i was quiet .
do you like fairytales .,i believe in fairytales .
all my tattoos are of cats .,"i have six tattoos , all of cats ."
"well hell , i wish it was free in the states , failing some classes . . .",i am failing some of my classes .
did you go to college after that ? i dropped out from college .,i am a college drop out .
i only need to be with my partner .,i have been with my significant other for a long time .
good for you i love to build things too .,i like to build things .
i want to be a vet .,i want to go away to college and study to one day be a vet .
i am from the united states . do you like adventure too ? london is far .,i love adventure that is why i have been a sales person all my life .
"its dave , nice to meet !",my name is dave .
kale is my fave . i need the iron .,i love eating kale .
"no , do not tell me that ! i am a cat person , well own one at least .",i own a cat .
i do not like to clean up after my husband .,i hate cleaning up after my husband and children .
its my lifes work rejected many time thoughts of giving in but never do .,i ve been rejected several times and thought of giving up with this .
i love playing soccer too .,"i don t have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall ."
cool . i wonder if i could go to school in vegas .,i want to go back to school .
"i live in pittsburgh pa , i love the steelers !",i am a steelers fan .
is that so ? i was a banker until last month .,i lost my job as a banker a month ago .
i am a kindergarten teacher at a large school .,i teach kindergarten .
my mother feeds him bad food . she lives with me so it is hard to help .,my mother lives with me .
its a good brunch meal so absolutely .,my favorite meal is brunch .
"speaking of jobs , when i worked as an actress , i pretended to be a country singer .",my favorite music is country .
mainly songs from halo 3 as i play it most of the day .,my favorite video game is halo 3 .
i work at a pizza parlor and live in the city in chicago as well .,i grew up in the projects of chicago .
i totally get you do you like movies .,my favorite thing to do is watch old movies .
i like to care for pets .,i love spending time with my pets .
i do not . i disappoint my loved ones .,i live to not disappoint my loved ones .
that is awesome ! i do not travel ever since i got in a car accident and lost my arm .,i lost my arm in a car accident .
she is a great distraction from football lol .,i like nfl and college football .
"i hope it is not anything serious . hopefully she can go hiking soon , that cures everything .",outside activities such as hiking are my favorites .
i like to be at the beach .,i enjoying going on the sand .
i am delightful . i just heated up some leftover vegan mashed potatoes and they are perfect .,my favorite food is mashed potatoes .
"i own one , i do not live on a boat , i am reading a book now .",i own a boat .
loving this late summer weather . . . not looking forward to winter .,i hate winter and the cold .
i like rock and soft rock .,i enjoy rock bands .
yeah but i am in the closet about being a cannibal .,i am a closet cannibal .
"i hate taking phone calls , i work as a cashier at mcdonalds because i love people .",i work at mcdonalds .
i hate broccoli .,i do not like broccoli .
"no , he likes his red meat . i am a male model in hollywood .",i am trying to become a male model in hollywood .
"i am a guy . also , i golf .",my friends and i enjoy golfing on sunny days .
i go a lot since it is my favorite . what do you do for a living .,i know a lot about other places .
chilling and knitting . listening to my sis play guitar .,i can knit .
i love going to concerts and dancing hard .,i enjoy moving my body .
"i like both baseball and football , but i like baseball more .",i prefer baseball over football .
wow . lets have dinner together so we can talk about it . but no red meat .,i hate red meat .
that sounds like a song from prince . anything related to purple i love .,my favorite color is purple .
that is awesome ! i would love to teach dance one day also .,i love to dance .
i just like to stand in the rain .,i like standing in the rain .
i eat hot dogs as i read horror novels .,i like scary movies .
i am from washington state . it rains a lot more here than nj .,i live in the capital of washington .
a bacon enthusiast and appreciation event my car is candy apple red .,i drive a red car .
"since medical school , 4 years ago . both her and my parents are doctors .",i am studying to be a doctor .
"at least i can do my hobby , hiking , i only need two legs for that .",i like to hike .
"oh , i love cars . never spend more that 100 on one though . junk to some .",i drive junk cars that no one else wants .
right that is how i feel about my freelancing . i do accountant work .,i work as an accountant .
not far off ! i like classic rock . i am older though .,i listen to classic rock .
just likes on my instagram an having fun !,its important for my instagram posts to look like i am having fun .
i do too . whats your favorite drink mine is pepsi .,my favorite drink is pepsi .
wow ! that is impressive . i will bring two dozens of cupcakes then .,i like cupcakes .
beautiful . i can say our father in spanish . i am catholic . . . have a friend here from venezuela .,i am catholic .
i hang out with my wife of five years .,i have been married for five years .
my hair is blonde and i love pizza . you ?,i have blonde hair .
i am kind of a couch potato . i enjoy relaxation .,i am a couch potato .
not being able to catch fish when i go fishing !,i enjoy fishing .
"oh , i have one dog . his name is socks .",i have a dog named socks .
nice do you ever go to goodwill .,i like to shop at goodwill .
you are a funny guy . i love animals though .,i love animals and like working with them .
my mom says that lentils have protein . but i want to dance not eat .,i like to shake my ass .
i enjoying flying kites in the fall .,i like to fly kites .
i mean move out with my cat .,i have a cat .
"autumn , that is normally when i get to play soccer . whats yours ?","i don t have too many friends in the us yet , but i am going to summer camp and i hope to make friends then ! i also think that i may make friends as soccer in the fall ."
they do . i was in beauty pageant once which was something different .,i won a beauty pageant one time but did not feel like it was worth the effort .
i am animal right activist are you .,i am an animal rights activist .
"i live in new york , piling up the debt .",i am in a lot of debt .
"oh , i work in a radio station , they use my voice .",i work on the radio as a character voice .
i have several friends that we do karaoke with .,i have many friends .
very cool ! i love van haven .,i love the band van haven .
i have a socks obsession . socks is my dogs name .,i have a dog named socks .
very interesting . i have never been to alaska but i do love iced coffee !,my favorite drink is iced coffee .
i am a happy person .,i am happy a lot of the time .
oh i am a college student and you ?,i am a student .
"i should , but if i could i lose my mind too .","i always seem to be losing things , most recently , my mind ."
"i used to play concerts , i am a guitarist , now i work online .",i recently started to work online .
thanks i am kinda awkward socially .,i am an animal lover .
i bet i am married an a vet .,i am married and have five children .
i am do you go to church .,i pray every day and go to church every week .
my dad was a mechanic .,my father used to be a mechanic .
"hello , blonde hair , blue eyes . and yourself ?",i have blonde hair .
i do not have any children .,i have no children of my own .
i have a youtube channel and i take beauty classes too .,i started taking beauty classes too .
"well , my girlfriend tells me she is going to leave pretty much every day , call me maybe ?",my girlfriend tells me she is going to leave me almost every day .
that is great ! i have been on a design team for more than 65 popular games .,i have been on the design team for over 65 video games .
"i spilled dr pepper on it , had to buy a prepaid to get by .",my favorite drink is dr pepper .
i prefer the reds . we grow them in a back lot near our timeshare .,i have a timeshare in mexico .
that is right . her name is button . there is even room for a football . i love to play .,i like to play football .
how many children do you have .,i have a lot of kids .
heck yes i am ! i am studying to be a nurse . so i will be making bank too .,i am studying to become a nurse .
"speaking italian and my eyes being different colors , i get lots of strange looks .",both my eyes are different colors .
i love to take walks .,i like to unwind by walking fast .
of course ! i am an artist . i like to draw portraits of other people .,i love people with a sense of humor .
i just started dating someone so that i guess .,i just started dating someone new .
whats your hair cut like ?,i keep my hair cut very short .
oh that sounds delicious ! i bet my crush would love that .,i have a crush on my co worker .
"well , i am going to see my favorite band in pittsburgh !",i live in pittsburgh .
"what a coincidence , i love rock music !",rock music is my favorite .
"yeah , i need a hobby , keep my mind off my boyfriend of ten years .",i have been dating my boyfriend for over 10 years .
my dog is going to be in my wedding at the park .,my wedding is coming up .
i have one that is 3 years old lol not in school yet ! hows he like it .,i have a 3 year old .
very pleasant . i am doing a little sewing .,i like to sew .
not really . although we do have some great ones coming through where i live .,my mother doesn t ! ove me .
"same here , the only thing i ever have done with my culinary degree , is make toast .",i have been at the er forever .
my wife and children go camping with me for fun .,i spend my weekends camping .
nice . i bet you stay in shape . i love eating meatloaf .,i could eat meatloaf every night and never get tired of it .
hi . i play professional basketball for the washington wizards .,i play for the washington wizards .
"favorite childhood book is green eggs and ham , but i do not think i will eat that .",i do not like green eggs and ham .
"its cooking , grandpap is taking us for ice cream too .",my grandma likes to make pizza with me .
"cool , i got a weird habit of putting on sock on the left first .",i always put my left sock on first .
"i would like that , and i could eat cheese while listening !",i love to eat cheese .
interesting ! i work on my computer from home .,i work at home on my computer .
that is nice . do you have any kids ?,i do not like kids .
i enjoy cooking .,i like to cook with food i grow in my garden .
"i love country , but everyone that listens to it eats meat . blah .",my favorite music is country .
"i really enjoy reading , writing and visiting art museums .",i love art museums .
"well , my dad being a cop , kind of scares everyone off .",my dad was a cop .
cool . . . i make videos of d models for games .,i enjoy making d models for video games and animations .
my two dogs are the best friends a girl could have .,"i have two dogs , one pitbull and old english bulldog ."
my drummer has a cat named system . our fav band is system of a down .,i am a fan of system of a down .
"well , i suppose disney movies , i love them and the dance .",i love disney movies .
yes youre sorry . yd british tv and shows and movies are awesome .,i like watching british tv shows and movies .
"wow ! my two favorites are lady gaga , and madonna .",lady gaga is my current favorite singer .
i used to live on a farm and would always walk the dog in the meadow .,i grew up on a large farm .
"no , i am not driving home . i cannot drive because i am blind . i take a taxi .",i am blind .
i really like cafe latte like they serve in france .,i love starbucks coffee .
"nice , i am more of a books kind of guy , i also write poetry .","when i have nothing else to do , i read books ."
no i am partially blind but now have astigmatism in my good eye .,i am partially blind .
"and for my son . well , it was lovely talking to you !",i have a ten year old son .
that sounds nice . i enjoy a drink or two with friends on occasion .,i enjoy the occasional drink with friends .
what about shrimp do you like that .,"i love eating shrimp , and i like to dip them into barbecue sauce ."
i would rather watch silicon valley . my bakery keeps me busy .,i am a baker .
it is in spain . football is big thing in spain .,my birthplace is spain .
"look man , long walks are just my thing .",i like to take walks .
"i like to play soccer , draw and read asterix .",i am a fan of ac milan .
oh i see . good luck with that ! i am going dancing tonite at la casa mike .,i love to dance salsa .
"no , they do not . and the real librarians do not .",i want to be a librarian .
"same here , those loaded bagels in the morning are going to kill me !",i like bagels with everything on them .
i am totally with you on that . have you ever had the chance to larp .,i love to larp .
my mom takes care of my grandma .,i had to drop out of college to help with my grandparents .
"me too , my father would take me to watch that when he was not busy being a doctor .",my father is a doctor .
i drive them to and from the farm .,i live on a small farm .
"no pets , i am a surfer , like surfing when the tide is low . do you have pets ?",i only surf when the tide is low .
i only have traveled in the usa no other country .,i do not travel .
i met my boyfriend at a horror convention .,i love to watch scary things .
nice . i like nature a lot . i enjoy exploring the forest .,i love the forest .
i have not been on a date since high school no time for a relationship .,i haven t been on a date since high school .
sounds like it . i stay up very late at night studying .,i stay up .
actually we swim in my swimming pool !,i enjoy swimming .
really ? i currently have a job at smoothie shop .,i work at a smoothie shop .
living near the ocean is awesome .,i live near the ocean .
i play field hockey and soccer and love spending time with my dog . you ?,i like field hockey and soccer .
i have a twin brother .,my twin brother and i share an apartment .
nice . i get frustrated when i drive my car .,but i m a frustrated driver .
i am jim carrey all day .,i am an animal lover .
me too but as a writer i do not think it can happen .,i have written a novel .
yes i am healthy i do not like meat and i love apples .,i like to eat the skin of the apple .
"i work at a law office , an attorney there . cupcakes , yum !",i work as an attorney .
just making some meatloaf you .,my favorite food is meatloaf .
"interesting . when i have free time , i sketch my favorite characters .","when i have free time , i sketch my favorite characters ."
no but i like to go visiting sometimes .,i enjoy going to see them occasionally .
i visited europe in june .,i like to visit the border .
sounds fun ! ! i also won a olympic medal for it .,i have won an olympic medal .
that is awesome . being vegan means i better like veggies a lot .,i am a vegan .
"my best friend told me a joke and i cant stop laughing , love to laugh .",i love laughing .
i do not really like vegetables or fruit but i pretend .,i do not like fresh greens .
"o yeah , i am like garfield , lasagna is my fav .",i love lasagna like i am garfield .
just basketball and hanging out with my kids .,i like children .
"i do not care for them , i prefer the country and having a nightly beer outside .",i always have a beer after work .
"yes , i miss fishing , but now i can get ready to decorate for christmas .",i enjoy fishing .
i m easily agitated .,i once lived in a storage locker for two months .
i love being outdoors . camping is a lot of fun .,i love being in my camper in the middle of the woods .
"do not eat meat . love animals , especially my pet skunk .",i have a pet skunk .
hi ! i work as a gourmet cook .,i am a gourmet cook .
"no , it is just me and the cats .",i like felines .
i was homeschooled so i have a hard time making new friends .,i did not have many friends in high school .
i enjoy playing piano ! i hope to be able to teach music after retirement .,i hope to become a music teacher after retirement .
yeah i like cats i have 2 .,i had several kittens .
i would love to play piano . my brother bought a keyboard from best buy where he works .,my brother works at best buy .
i hate having to clean up after messy people . factory workers are the worst !,i work in a factory .
nice do you go to the movies ?,i like to go to the movies .
oh nice ! my favorite color is blue like my eyes .,my eye color is like the sky .
i want to be married again . but my boyfriend ugh .,i wish my boyfriend did not want an open relationship .
"my wife showed me that , she makes me smile .",my wife always puts a smile on my face .
i cook what i must but clearly i get a woman to .,i have woman calling me all the time .
oh i love maine ! i am pretty boring . teach during the week and church on the weekends .,i go to church on sunday .
"talking about drink , i brew beer with my gay partner .",i am gay .
"i have always been with my parents , they homeschooled me .",i grew up homeschooled .
i am so sorry ! my parents died as well . they were very unhealthy so i am vegan .,i am a vegan .
do you cook vegetarian food . that ias what i am .,i do not eat meat .
i love the man who paints landscapes on television .,i spend a lot of time watching tv .
i have a serious problem . but i eat my vegetables all the time .,i always eat my vegetables .
"i love green , and have not found a pair i like . i will have ot check again lol .",my favorite color is green .
"i think i saw her playing soccer once , so yeah .",i love a game where i can use my footwork .
from florida school is not important here .,i live in america in the state of florida .
that sounds great . the beach is my happy place .,i enjoy vacations at the beach .
do you like watching tv ? like anime ?,i like to watch anime .
"oh , after my baseball game i was going to wire you some .",in summer i live at the ballpark .
i have been working the same job for two years .,i just moved into an apartment within the vicinity of my new job .
"too bad , cooking is my passion , i really like it .",i like to cook .
who is ? an i have an autistic child .,one child has autism .
no ways ! i love both nfl and college football games .,i like nfl and college football .
cute ! i have a french bulldog named chanel . she loves to vacation with me .,i own a french bulldog .
"yes , i love eating healthy foods .",i like eating healthy foods .
i am getting ready to watch some college football and also nfl football tomorrow love it .,i like nfl and college football .
good because traditional drawing i love . i want to be an animator .,someday i with to become a famous animator and work for a big company like dreamworks .
yeah i do . i ride to starbucks and hang there . then antique stores .,i spend my weekends browsing antique stores .
i understand my toddler keeps me running !,i have a toddler .
i love my iphone .,i prefer iphone over samsung .
nice ! i also have blue shoes and car .,i own blue shoes .
cool . i also like cooking but do like to go out and eat too .,i also enjoy cooking .
"doing well , just finished walking my two dogs .",my sweet puppy is my favorite animal .
good news . i bought a ford f 150 for the ranch i run .,i drive a ford truck .
"my hobbies are working with acrylics , i am fine .",i like to work with acrylics .
that is a shame . but at least you have ever had a job .,i have not held a job .
that is good . i love walking through the park .,i enjoy taking walks .
i will probably have a couple picnics in the park and cry over my boyfriend .,i live near a park .
"hopefully that is my plan , i just work daycare right now .",i work at a daycare .
i write short stories in my free time .,i jot down my thoughts .
"i live in springfield , mo .",i currently reside in missouri .
i eat meat .,i love to eat meat .
i like to go camping .,i like camping and the outdoors in general .
"probably not , being a mother of three it can be hard to handle .",i am a mother of three .
"that is great , i also travel to canada on weekends for relaxing , do you travel .",i spend the weekends travelling up to canada to relax and enjoy the view .
